Age,Gender,Study_Hours,Class_Attendance,Tuition,Exam_Frequency,Assignment_Load,Sleep_Hours,Physical_Exercise,Social_Media_Use,Screen_Time,Family_Income_Level,Peer_Pressure,Family_Support,Anxiety_Level,University_Type,Stress_Score,Stress_Level
20,Female,9,89,No,1,3,5,Yes,1,6,Low,8,6,1,Private University,-1,Low
19,Male,6,74,No,9,5,8,Yes,7,9,Low,5,6,1,National University,15,Medium
20,Male,3,83,No,3,1,9,Yes,4,3,High,5,2,5,Public University,3,Low
21,Male,7,47,Yes,5,3,5,No,2,6,Low,5,3,9,Private University,17,Medium
20,Male,6,48,Yes,9,1,8,No,1,10,Low,1,4,8,Private University,17,Medium
19,Female,1,48,No,1,5,6,No,4,8,Medium,1,1,3,Private University,14,Medium
19,Female,5,45,Yes,9,9,5,No,0,1,Low,7,5,6,National University,15,Medium
19,Male,6,70,Yes,3,9,8,No,0,7,Low,4,4,5,Public University,12,Medium
21,Female,8,77,Yes,4,2,4,Yes,5,5,Medium,7,6,3,Public University,7,Low
20,Female,5,50,No,8,9,6,No,1,5,Medium,7,3,7,National University,21,High
20,Male,8,68,Yes,6,1,6,No,6,7,Low,4,4,4,National University,14,Medium
23,Female,9,48,No,8,6,9,No,4,6,Low,9,4,1,Private University,12,Medium
22,Male,5,43,No,1,4,9,No,0,6,Medium,7,4,9,National University,7,Low
24,Female,1,74,No,9,5,4,No,3,4,High,3,1,4,Public University,20,Medium
20,Male,3,62,No,3,5,5,No,2,2,Medium,2,8,2,National University,1,Low
22,Female,4,87,No,9,7,8,No,5,10,Low,7,9,9,Private University,23,High
23,Male,1,60,No,4,2,8,Yes,3,7,High,4,5,1,National University,2,Low
23,Female,8,96,Yes,8,3,7,No,1,4,Low,6,4,5,Private University,10,Low
24,Female,9,61,No,4,7,5,Yes,5,1,Low,4,3,2,Public University,9,Low
20,Female,3,43,Yes,2,6,4,No,6,4,Low,4,1,4,Public University,17,Medium
19,Male,9,79,No,7,2,5,Yes,4,7,Medium,1,2,6,Private University,17,Medium
19,Male,4,79,Yes,1,5,4,Yes,7,10,Medium,4,8,6,Public University,15,Medium
24,Male,4,98,Yes,1,6,9,Yes,1,5,Medium,5,5,4,National University,1,Low
24,Female,4,73,No,4,6,7,No,1,3,Medium,2,5,6,Private University,8,Low
20,Female,0,57,No,4,1,7,Yes,1,11,High,1,5,3,National University,6,Low
23,Male,1,75,No,7,9,4,Yes,1,5,Low,6,8,1,Private University,9,Low
19,Male,4,95,No,5,7,8,Yes,1,4,Low,8,5,7,Public University,9,Low
23,Female,3,57,Yes,7,7,8,Yes,2,7,Low,9,4,2,Public University,11,Medium
19,Female,7,59,No,4,1,7,Yes,4,6,Medium,2,8,7,Public University,5,Low
21,Female,6,94,No,6,2,8,No,5,11,Medium,5,6,3,Public University,13,Medium
22,Male,9,40,Yes,6,8,9,Yes,4,1,High,8,9,9,Private University,8,Low
22,Female,7,91,Yes,5,4,9,Yes,2,6,High,8,4,2,Public University,4,Low
20,Female,7,67,Yes,1,3,6,No,7,1,Medium,6,1,5,National University,10,Low
23,Male,0,47,No,4,4,8,Yes,2,5,Medium,7,7,8,Private University,6,Low
23,Male,0,82,Yes,4,4,9,No,0,8,Low,5,5,4,Public University,6,Low
22,Female,6,70,No,4,1,9,No,5,6,Low,9,2,2,Public University,7,Low
24,Female,7,87,No,5,6,4,No,4,7,Medium,2,1,7,National University,24,High
24,Male,3,69,Yes,3,7,7,No,3,8,Medium,6,5,2,National University,11,Medium
21,Female,0,52,No,3,1,9,No,1,2,Low,6,2,8,Public University,4,Low
21,Male,5,64,Yes,1,2,8,No,4,1,Medium,6,2,3,Private University,1,Low
21,Female,0,71,No,6,6,9,No,3,1,Low,1,6,6,Public University,7,Low
19,Female,3,91,No,3,2,4,Yes,1,1,Low,2,9,6,National University,-2,Low
20,Male,9,50,Yes,5,5,7,No,4,5,High,8,5,3,Public University,10,Low
24,Female,0,93,Yes,1,5,9,No,1,9,Medium,4,9,8,Private University,6,Low
21,Male,1,86,Yes,6,3,7,Yes,0,8,High,2,2,2,National University,8,Low
20,Male,6,54,Yes,3,4,8,No,5,2,Low,6,8,4,Private University,2,Low
21,Female,2,44,Yes,2,1,6,Yes,1,3,High,4,1,8,Private University,6,Low
24,Female,1,80,Yes,5,1,9,No,3,11,Low,5,5,7,Private University,13,Medium
19,Male,7,78,Yes,4,3,8,Yes,4,4,Medium,8,8,2,Public University,-1,Low
23,Male,9,50,No,5,8,5,No,0,8,Low,2,5,7,Private University,18,Medium
23,Male,4,49,No,3,9,5,No,1,2,Low,6,5,5,Public University,10,Low
21,Female,3,71,No,3,5,5,Yes,6,3,Medium,3,8,4,Public University,6,Low
21,Female,5,57,Yes,5,2,5,Yes,1,8,Medium,3,9,3,Private University,3,Low
23,Female,9,66,Yes,6,5,9,Yes,2,6,Low,2,6,2,Public University,4,Low
20,Male,9,92,No,3,2,7,No,2,3,Low,1,3,1,Public University,1,Low
20,Female,4,64,No,4,4,7,No,3,6,High,3,7,7,Public University,10,Low
22,Male,4,54,No,1,4,6,Yes,7,11,Low,3,2,2,National University,15,Medium
19,Female,1,90,Yes,8,7,5,Yes,2,9,Medium,8,2,6,Public University,23,High
19,Male,3,95,No,1,8,8,No,4,10,Low,8,5,6,Public University,16,Medium
21,Male,1,80,Yes,1,9,6,No,2,10,Medium,4,6,7,National University,17,Medium
23,Female,4,53,Yes,8,8,6,Yes,0,2,Low,2,8,3,Public University,5,Low
22,Male,2,71,No,7,3,4,No,5,11,Medium,7,8,5,Private University,19,Medium
24,Male,5,77,Yes,3,3,8,Yes,0,7,Medium,8,5,1,Private University,-1,Low
20,Male,6,68,No,6,2,7,Yes,3,3,High,1,2,1,Private University,4,Low
22,Male,5,63,Yes,8,8,4,Yes,2,10,Medium,7,2,5,Public University,25,High
23,Female,6,81,Yes,8,4,7,No,7,10,Low,9,7,8,Public University,23,High
20,Male,1,47,Yes,7,2,6,Yes,1,6,Low,8,6,7,Public University,9,Low
20,Male,8,76,Yes,2,4,7,Yes,3,2,Medium,9,6,1,Public University,-3,Low
19,Male,0,67,No,5,7,5,Yes,2,7,Medium,1,8,2,National University,8,Low
21,Female,8,59,No,6,4,5,Yes,0,7,High,2,7,1,National University,4,Low
21,Male,3,77,No,4,6,7,No,4,3,Low,9,3,3,Public University,10,Low
22,Male,7,73,Yes,4,3,7,No,3,1,Low,5,9,6,Public University,1,Low
24,Male,1,90,No,9,6,8,No,3,10,Medium,8,5,8,Private University,23,High
23,Male,0,70,Yes,7,6,9,Yes,5,2,Medium,6,2,8,Private University,15,Medium
23,Female,1,85,Yes,4,4,8,Yes,4,10,Medium,1,6,4,National University,10,Low
23,Male,3,64,No,2,9,8,No,6,11,High,4,2,1,National University,19,Medium
19,Female,2,47,Yes,1,5,8,Yes,2,2,Low,2,5,5,Private University,0,Low
23,Male,0,54,Yes,2,4,6,Yes,7,5,High,9,3,9,National University,16,Medium
23,Male,7,46,No,3,5,7,No,7,3,High,5,8,7,Private University,10,Low
24,Male,2,53,No,9,5,6,Yes,6,3,High,9,5,4,Public University,14,Medium
23,Female,8,92,Yes,8,5,8,No,4,10,Low,7,3,7,Private University,23,High
23,Female,4,62,Yes,9,7,9,No,0,4,Low,9,7,5,National University,9,Low
24,Male,4,62,Yes,4,6,5,No,6,5,Medium,5,4,6,Public University,18,Medium
23,Male,4,79,Yes,9,8,8,Yes,3,8,Medium,3,3,7,Private University,22,High
20,Female,3,74,Yes,5,8,5,Yes,5,3,Medium,2,4,6,Public University,16,Medium
19,Female,3,43,Yes,7,1,8,No,7,11,High,2,1,8,Private University,25,High
19,Male,6,92,No,4,5,8,Yes,3,7,Medium,4,6,3,Public University,6,Low
22,Female,4,63,No,1,9,8,No,3,2,Medium,8,6,2,Private University,3,Low
24,Female,2,78,Yes,4,1,8,Yes,4,3,High,8,7,4,Private University,-1,Low
21,Female,7,93,No,5,9,4,Yes,7,8,Medium,5,3,9,National University,29,High
24,Female,9,75,Yes,1,9,4,Yes,1,10,Low,9,3,2,Public University,14,Medium
20,Male,2,80,No,6,2,8,Yes,4,1,Medium,6,3,7,National University,7,Low
22,Female,0,60,Yes,2,6,7,No,2,5,Medium,4,5,5,National University,8,Low
22,Female,8,61,Yes,2,1,7,No,1,4,Medium,6,7,8,Private University,2,Low
20,Male,5,78,Yes,7,8,4,Yes,6,9,Low,1,2,2,Public University,24,High
21,Male,2,58,Yes,6,2,9,Yes,5,2,Low,5,7,1,Public University,-2,Low
20,Male,3,45,No,2,2,8,No,2,6,Medium,6,6,9,National University,7,Low
24,Female,9,80,Yes,6,1,7,No,5,5,Medium,9,9,9,Public University,10,Low
22,Female,0,78,No,5,7,9,Yes,7,11,Low,7,5,5,Public University,19,Medium
19,Male,9,90,No,9,9,8,Yes,4,3,Low,7,4,9,Public University,20,Medium
19,Male,5,67,No,8,7,6,Yes,5,8,Low,7,8,9,Public University,21,High
19,Male,3,71,No,7,2,6,No,2,5,High,7,5,3,National University,8,Low
24,Male,5,69,No,7,1,4,No,4,6,Medium,6,3,2,Private University,13,Medium
20,Male,5,95,No,9,1,8,Yes,7,2,Medium,5,1,2,Public University,10,Low
20,Male,5,89,Yes,3,9,4,Yes,3,7,Low,4,2,9,National University,23,High
21,Male,5,56,No,5,9,4,No,0,6,Medium,4,3,4,Private University,17,Medium
19,Female,5,83,No,3,5,7,Yes,2,9,Medium,9,8,4,Public University,6,Low
19,Male,2,84,No,9,5,6,Yes,6,8,Medium,5,2,2,Public University,20,Medium
23,Female,4,96,No,5,6,7,Yes,0,8,Medium,1,3,7,National University,14,Medium
20,Male,7,86,Yes,3,5,4,Yes,7,11,Medium,7,4,7,Public University,23,High
21,Male,4,62,Yes,4,1,6,Yes,2,2,Medium,1,7,3,National University,-3,Low
21,Female,2,94,Yes,5,4,8,Yes,1,2,High,5,3,3,Public University,2,Low
19,Female,1,41,Yes,8,4,6,Yes,1,3,Low,8,3,1,National University,6,Low
20,Female,2,45,Yes,7,1,5,Yes,2,4,Medium,3,4,9,Private University,12,Medium
24,Female,8,90,No,8,2,6,Yes,0,8,Low,1,1,4,Private University,13,Medium
19,Male,5,99,Yes,9,7,7,Yes,3,7,High,7,4,5,Private University,18,Medium
21,Male,7,41,Yes,3,9,4,Yes,4,7,Medium,4,2,5,National University,20,Medium
24,Male,0,47,No,8,3,7,No,7,10,Low,5,6,7,Public University,22,High
23,Female,2,72,No,2,5,4,Yes,5,10,Medium,8,7,1,National University,10,Low
22,Female,0,92,Yes,1,9,8,No,6,11,High,5,9,5,Private University,15,Medium
21,Female,5,81,Yes,6,9,5,No,6,8,Medium,3,7,9,National University,26,High
24,Male,5,83,Yes,3,1,9,Yes,0,5,Low,2,4,7,Public University,1,Low
23,Male,5,81,Yes,6,7,9,No,7,8,Medium,9,2,7,Public University,24,High
22,Male,9,98,Yes,2,8,7,No,7,3,Low,7,5,7,National University,15,Medium
19,Male,6,78,Yes,9,3,9,Yes,3,9,Medium,9,8,7,Private University,12,Medium
19,Female,9,83,No,4,2,6,Yes,6,9,High,9,3,7,Public University,17,Medium
21,Male,5,81,Yes,1,8,6,Yes,2,9,Low,2,9,2,Private University,5,Low
23,Male,0,68,No,1,2,8,No,4,4,Low,7,4,4,National University,3,Low
20,Male,1,82,Yes,2,7,7,No,3,7,High,1,4,7,Private University,15,Medium
24,Female,0,62,No,1,8,4,Yes,7,1,Medium,4,6,7,National University,12,Medium
21,Female,7,55,No,4,4,7,Yes,0,9,High,4,2,9,Private University,15,Medium
19,Male,4,48,Yes,6,8,6,Yes,1,4,High,6,7,4,National University,8,Low
21,Male,7,88,No,1,1,6,No,3,6,Low,9,6,5,National University,4,Low
24,Male,0,96,No,6,4,4,Yes,7,3,Medium,2,6,1,Public University,9,Low
22,Male,3,63,Yes,9,8,5,No,2,7,Medium,2,3,4,Private University,22,High
22,Female,2,99,No,1,2,5,No,2,4,Low,2,3,2,National University,3,Low
22,Male,5,80,Yes,6,3,6,No,1,4,High,2,8,2,National University,2,Low
22,Male,9,54,Yes,1,4,9,Yes,3,6,Medium,1,2,2,National University,3,Low
19,Male,6,43,No,4,6,4,No,3,2,High,9,1,7,National University,17,Medium
23,Female,6,87,No,3,1,7,Yes,4,3,High,1,8,8,Public University,2,Low
19,Female,7,96,Yes,2,1,5,Yes,2,9,Low,6,8,7,National University,6,Low
23,Female,6,42,Yes,8,8,7,Yes,3,3,Low,6,7,4,National University,10,Low
19,Male,6,93,No,7,5,9,Yes,0,1,Medium,9,7,7,National University,2,Low
19,Female,3,99,No,6,2,6,No,3,6,Low,3,6,5,Public University,10,Low
21,Female,1,75,No,7,7,9,No,1,3,Low,8,2,2,Public University,9,Low
24,Female,1,97,No,3,4,5,Yes,2,1,Medium,8,7,3,National University,-1,Low
19,Male,8,50,No,5,2,9,Yes,2,9,Low,6,8,2,Public University,1,Low
20,Male,7,58,Yes,5,7,4,Yes,5,11,Low,2,9,6,Public University,19,Medium
19,Female,8,81,No,7,6,6,Yes,7,3,Medium,3,4,1,Private University,12,Medium
23,Male,7,40,No,3,1,7,No,1,3,Low,3,6,6,National University,1,Low
22,Male,6,80,No,2,6,8,No,3,5,High,3,6,6,National University,8,Low
20,Male,1,66,No,5,5,7,No,6,6,Low,7,7,6,Public University,14,Medium
22,Male,1,63,Yes,1,2,7,No,5,2,High,7,4,8,National University,7,Low
19,Male,6,92,Yes,1,3,8,Yes,0,2,Medium,9,3,9,Public University,2,Low
24,Female,0,81,Yes,6,6,7,Yes,1,11,Medium,1,8,2,Public University,9,Low
22,Female,1,89,No,8,5,4,Yes,2,4,Low,4,2,3,Public University,14,Medium
23,Male,9,86,Yes,9,5,4,Yes,3,4,Low,8,2,8,National University,21,High
23,Female,7,69,Yes,1,9,9,No,7,9,Medium,1,8,7,Public University,16,Medium
22,Male,5,78,No,1,8,8,Yes,2,1,Low,5,1,2,Private University,3,Low
21,Female,6,88,Yes,4,3,8,No,0,1,High,7,5,9,Public University,4,Low
21,Male,5,63,Yes,4,4,5,No,1,5,Medium,6,5,1,National University,5,Low
21,Female,2,95,No,8,3,4,No,3,8,Low,2,7,9,National University,20,Medium
19,Female,8,48,Yes,5,5,8,Yes,3,2,Medium,6,5,7,National University,7,Low
24,Female,0,43,No,4,8,7,Yes,1,11,Medium,9,9,5,National University,11,Medium
24,Female,5,97,Yes,3,7,9,Yes,2,8,Medium,7,7,9,Private University,11,Medium
24,Female,5,73,Yes,9,4,6,Yes,0,6,Medium,6,6,6,Public University,11,Medium
23,Male,1,45,Yes,2,3,5,Yes,4,7,Medium,1,4,7,National University,12,Medium
19,Female,4,52,No,6,9,5,Yes,2,3,Low,1,5,5,National University,13,Medium
21,Female,1,76,No,9,4,8,No,2,6,Medium,9,7,3,Public University,9,Low
21,Female,6,78,Yes,1,2,7,No,6,10,Low,3,4,8,National University,16,Medium
20,Female,9,89,Yes,5,9,6,No,7,8,Low,1,3,1,Private University,21,High
23,Female,1,77,No,7,4,9,Yes,4,10,High,9,8,2,Public University,8,Low
20,Male,7,73,No,4,5,8,Yes,5,8,Low,7,2,9,National University,19,Medium
23,Female,0,96,No,3,3,5,No,3,6,Medium,3,3,2,Public University,9,Low
22,Male,0,91,Yes,2,9,8,Yes,3,11,High,1,9,3,National University,9,Low
21,Male,2,70,Yes,9,4,5,Yes,0,5,High,5,9,8,National University,10,Low
22,Male,3,55,No,7,8,5,No,3,3,Low,5,3,9,Public University,22,High
22,Female,2,60,No,5,2,4,No,5,7,High,7,5,9,Private University,19,Medium
21,Male,8,81,Yes,6,1,6,Yes,7,7,Low,7,4,7,National University,16,Medium
22,Female,1,52,Yes,1,1,5,No,4,2,Medium,7,5,6,National University,4,Low
21,Male,1,60,No,8,9,5,No,5,9,High,3,6,3,National University,23,High
20,Female,3,53,No,9,2,6,No,1,5,Low,7,7,6,Public University,10,Low
22,Female,8,68,Yes,5,1,5,No,5,10,Medium,8,1,3,Private University,18,Medium
19,Female,8,79,No,3,4,7,No,4,11,Low,1,3,1,Public University,13,Medium
24,Female,6,90,Yes,4,7,7,Yes,2,2,Medium,1,8,3,Private University,1,Low
20,Male,9,45,No,9,4,9,Yes,7,8,Medium,1,8,5,Private University,14,Medium
22,Female,2,94,No,5,8,5,No,0,9,High,3,8,6,Private University,15,Medium
23,Male,8,50,No,4,5,5,No,0,1,Medium,3,5,3,Private University,3,Low
24,Female,1,41,No,5,5,4,Yes,4,11,Medium,3,3,3,Private University,19,Medium
19,Male,5,40,Yes,5,7,6,No,7,10,Low,8,1,5,Private University,27,High
20,Female,3,75,No,2,4,7,No,7,2,Medium,7,5,9,Private University,12,Medium
23,Female,3,64,No,7,4,8,Yes,5,8,Low,4,7,7,Public University,14,Medium
20,Female,3,90,No,6,9,4,Yes,2,3,Low,4,9,1,Private University,6,Low
22,Female,2,58,Yes,4,1,4,No,6,9,Medium,5,6,2,National University,12,Medium
23,Female,0,55,Yes,8,6,6,No,2,6,Low,5,9,4,Private University,11,Medium
20,Male,3,64,No,6,8,4,No,3,6,Medium,3,3,6,Private University,22,High
24,Male,3,89,No,6,7,4,Yes,5,3,Low,2,4,9,National University,20,Medium
20,Female,7,58,No,8,3,6,No,2,3,Medium,9,9,3,Private University,4,Low
19,Male,6,91,Yes,6,6,7,Yes,7,3,Low,9,3,6,Private University,16,Medium
22,Female,4,98,No,5,2,5,Yes,0,9,Low,6,9,9,National University,9,Low
21,Male,6,60,No,6,2,4,No,4,5,High,7,7,7,Public University,13,Medium
20,Male,4,66,Yes,1,4,8,Yes,4,5,Medium,3,2,6,National University,8,Low
20,Male,2,97,Yes,2,4,8,No,4,11,High,6,8,1,Public University,6,Low
21,Male,4,64,Yes,7,7,4,Yes,1,3,Low,6,9,8,Public University,11,Medium
19,Male,6,76,Yes,3,7,4,No,0,11,Medium,1,2,1,Private University,16,Medium
19,Male,5,54,Yes,3,7,9,No,1,2,Medium,9,8,6,Private University,2,Low
24,Female,6,71,No,1,4,5,Yes,2,4,High,1,2,9,Private University,11,Medium
19,Female,9,81,Yes,7,4,8,No,1,10,Medium,8,8,7,Private University,13,Medium
22,Female,3,59,Yes,6,8,6,No,2,5,Medium,8,7,5,Private University,13,Medium
21,Female,7,50,No,9,5,8,No,1,6,Low,2,6,4,Public University,11,Medium
24,Male,5,91,Yes,4,9,5,Yes,1,2,Low,9,9,6,Public University,6,Low
20,Female,1,57,No,9,9,8,Yes,1,11,Low,8,8,3,Private University,15,Medium
23,Female,9,90,No,9,2,7,No,3,5,Medium,8,5,4,Public University,11,Medium
20,Male,2,68,Yes,3,8,5,No,6,11,High,5,1,8,National University,30,High
23,Male,5,49,No,7,6,8,No,7,7,Medium,6,7,5,National University,17,Medium
21,Male,2,45,Yes,3,9,6,No,4,2,Low,3,1,4,Private University,15,Medium
21,Male,9,56,Yes,6,2,7,Yes,3,4,High,8,5,4,National University,5,Low
19,Female,7,45,No,1,1,4,No,4,3,High,1,8,7,Private University,4,Low
19,Male,2,63,Yes,9,1,6,Yes,5,3,High,9,7,4,Private University,7,Low
22,Male,1,44,Yes,6,4,4,No,0,4,Medium,4,4,5,National University,11,Medium
19,Male,8,46,No,4,6,5,Yes,5,1,Low,8,3,5,Private University,11,Medium
24,Male,4,45,Yes,4,3,8,No,3,4,High,5,6,9,Public University,9,Low
19,Female,3,63,Yes,3,6,4,No,0,1,Medium,5,5,7,Public University,8,Low
19,Male,1,61,No,8,7,4,Yes,1,11,Low,1,6,1,Private University,16,Medium
23,Male,0,55,Yes,4,4,8,No,2,3,Low,9,7,9,Private University,7,Low
19,Female,1,66,No,9,8,7,No,7,3,Medium,6,9,6,Public University,17,Medium
24,Female,5,64,No,3,4,4,Yes,4,8,Medium,3,2,6,Private University,17,Medium
21,Female,4,81,Yes,6,6,9,No,5,4,Medium,7,2,1,National University,11,Medium
19,Female,0,85,No,2,8,5,Yes,4,3,Low,9,5,9,Private University,14,Medium
19,Female,7,68,Yes,9,4,7,Yes,3,11,Medium,5,3,3,National University,18,Medium
19,Male,0,75,Yes,7,8,5,No,6,11,Medium,2,6,3,Public University,24,High
23,Male,0,47,Yes,4,4,6,Yes,4,9,Medium,4,3,5,National University,15,Medium
20,Female,0,66,No,2,8,5,No,5,3,Medium,8,7,8,Private University,14,Medium
22,Female,3,54,No,9,1,7,No,1,1,High,2,3,9,Private University,11,Medium
20,Female,5,92,Yes,6,1,6,No,5,4,Medium,1,6,2,National University,6,Low
21,Male,2,55,Yes,7,8,4,Yes,6,6,Medium,6,8,4,Public University,17,Medium
24,Male,5,99,No,9,9,9,No,2,11,Low,4,5,9,National University,26,High
19,Male,0,44,No,9,7,9,No,0,4,Medium,1,4,9,Public University,16,Medium
24,Male,4,93,Yes,1,4,6,Yes,1,6,Low,6,3,2,Public University,3,Low
20,Male,9,69,No,7,3,5,No,2,2,Medium,4,4,2,Public University,7,Low
22,Male,9,80,Yes,3,8,7,Yes,3,9,Medium,7,7,6,National University,13,Medium
24,Female,9,84,No,3,4,4,Yes,0,11,Low,8,8,7,National University,11,Medium
20,Female,4,41,No,4,7,4,No,1,1,Medium,2,9,8,Public University,8,Low
22,Female,0,95,No,8,3,6,No,4,4,Low,7,4,4,Public University,13,Medium
23,Male,7,54,No,1,1,9,No,2,10,Low,3,7,1,National University,-1,Low
23,Female,5,52,No,1,1,8,Yes,0,9,Medium,7,1,7,National University,7,Low
23,Male,1,48,Yes,7,7,6,Yes,0,1,Low,6,4,3,National University,6,Low
22,Female,0,66,Yes,6,9,9,Yes,3,3,Low,2,7,2,National University,5,Low
20,Male,5,70,No,4,8,9,No,1,11,High,6,6,4,Public University,13,Medium
21,Female,5,56,No,7,6,7,Yes,5,1,High,3,1,9,Public University,18,Medium
19,Male,0,81,No,3,6,7,No,3,10,Low,2,8,8,National University,15,Medium
23,Male,4,56,Yes,4,5,4,No,4,1,Low,2,3,3,Private University,10,Low
23,Male,8,87,No,9,5,9,No,2,1,Medium,5,4,2,National University,6,Low
19,Male,9,56,No,9,8,5,No,5,8,Low,3,2,6,National University,29,High
23,Male,1,66,Yes,4,9,5,No,1,6,Low,3,3,4,National University,16,Medium
22,Female,8,93,No,2,3,6,No,2,9,Low,8,2,7,National University,15,Medium
24,Male,7,40,No,6,8,9,Yes,7,6,Low,9,3,2,Private University,15,Medium
24,Female,1,44,Yes,1,5,6,No,0,1,Low,7,6,5,Private University,0,Low
22,Male,0,94,No,3,1,6,Yes,6,7,Medium,5,4,4,National University,9,Low
23,Male,8,52,No,5,5,6,No,0,9,Low,1,5,1,National University,9,Low
24,Female,7,46,Yes,3,3,7,No,5,7,Low,1,4,6,Private University,13,Medium
21,Female,8,71,No,9,7,4,Yes,6,7,Low,1,7,1,National University,17,Medium
20,Male,1,83,Yes,1,8,8,No,5,2,Low,6,2,7,Public University,13,Medium
24,Male,9,80,Yes,9,8,6,Yes,1,9,Medium,3,7,2,National University,14,Medium
24,Male,7,63,No,4,5,5,Yes,1,2,Low,9,4,2,Private University,3,Low
24,Male,5,94,No,5,2,6,No,5,9,Low,3,2,1,Private University,14,Medium
24,Male,3,80,Yes,9,6,8,No,2,7,Low,9,6,9,Private University,19,Medium
20,Female,1,55,No,8,8,7,No,1,1,Low,2,2,3,Private University,12,Medium
20,Male,4,87,Yes,1,4,6,No,5,9,Medium,9,7,8,Private University,14,Medium
21,Female,9,51,Yes,6,6,7,No,5,1,High,2,3,4,Public University,12,Medium
24,Female,0,40,Yes,5,7,4,No,0,2,Low,7,1,9,National University,18,Medium
21,Male,5,81,No,3,8,6,No,5,11,Low,2,1,1,National University,21,High
23,Male,0,70,Yes,4,1,4,No,1,4,High,2,5,7,Public University,8,Low
24,Male,1,50,No,2,8,8,Yes,0,8,High,9,2,3,Public University,9,Low
21,Female,0,86,No,9,1,4,Yes,3,10,High,8,1,3,National University,19,Medium
21,Male,7,55,No,9,1,7,Yes,2,8,Low,8,7,7,Private University,11,Medium
19,Male,4,71,No,8,9,4,No,3,1,High,9,2,6,National University,21,High
22,Male,9,94,No,6,1,8,Yes,1,9,Low,6,2,3,Private University,8,Low
19,Female,3,75,No,7,6,7,No,1,6,Low,3,5,1,Private University,9,Low
